epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7959,2.1895,2.98134,1.29862,0.00935,0.1626,0.0061,0.00302,1.93751,3.35976,1.15786,0.00043342,0.00043342,0.00043342
2,35.1884,2.0265,1.60839,1.16765,0.02392,0.46612,0.32246,0.13135,1.98936,2.94347,1.17704,0.000866017,0.000866017,0.000866017
3,51.7605,1.96721,1.42099,1.15052,0.8663,0.23577,0.4742,0.18622,2.19357,2.04093,1.37758,0.00128079,0.00128079,0.00128079
4,67.8568,1.9402,1.3299,1.1463,0.60909,0.49593,0.47786,0.18074,2.13293,1.48736,1.28087,0.00156798,0.00156798,0.00156798
5,83.946,1.9509,1.25283,1.13974,0.52848,0.48238,0.45624,0.16888,2.14941,1.41686,1.30019,0.00153497,0.00153497,0.00153497
6,100.523,1.9203,1.19166,1.13142,0.64345,0.48103,0.50567,0.20183,2.10788,1.43022,1.29801,0.00150197,0.00150197,0.00150197
7,116.37,1.90264,1.13263,1.12099,0.64724,0.61382,0.60513,0.23542,2.0551,1.19668,1.22683,0.00146896,0.00146896,0.00146896
8,132.353,1.87102,1.08383,1.11659,0.66787,0.62126,0.58599,0.21459,2.11519,1.48568,1.28217,0.00143595,0.00143595,0.00143595
9,148.712,1.85563,1.06151,1.11564,0.70198,0.60004,0.60463,0.25036,2.00447,1.30234,1.22285,0.00140295,0.00140295,0.00140295
10,164.76,1.84771,1.03045,1.11146,0.66553,0.62737,0.59975,0.23107,2.09544,1.24594,1.26774,0.00136994,0.00136994,0.00136994
11,180.91,1.84339,1.01972,1.10401,0.72037,0.64905,0.68559,0.27467,1.97979,1.1159,1.2152,0.00133693,0.00133693,0.00133693
12,196.596,1.79069,0.98542,1.09427,0.69642,0.64499,0.6648,0.27161,1.98204,1.07444,1.20941,0.00130393,0.00130393,0.00130393
13,212.733,1.79485,0.96307,1.09568,0.68945,0.59079,0.58684,0.24768,1.99862,1.78118,1.22519,0.00127092,0.00127092,0.00127092
14,228.602,1.78656,0.96966,1.08747,0.74093,0.63821,0.68472,0.28417,2.00367,1.03119,1.22518,0.00123791,0.00123791,0.00123791
15,244.906,1.79186,0.95358,1.06788,0.76069,0.64905,0.70325,0.28953,2.00359,1.03065,1.20728,0.00120491,0.00120491,0.00120491
16,260.719,1.76567,0.93029,1.07437,0.76924,0.66667,0.73217,0.29491,1.97042,1.01159,1.20947,0.0011719,0.0011719,0.0011719
17,277.283,1.7487,0.92298,1.06116,0.75218,0.66625,0.71582,0.30275,1.94273,1.00355,1.19045,0.00113889,0.00113889,0.00113889
18,293.267,1.73561,0.91543,1.05608,0.73126,0.6477,0.67948,0.28209,1.98163,1.0302,1.23254,0.00110589,0.00110589,0.00110589
19,309.685,1.73408,0.91258,1.06374,0.76525,0.68293,0.74281,0.30778,1.94391,0.99705,1.20187,0.00107288,0.00107288,0.00107288
20,325.294,1.71946,0.89685,1.05943,0.77675,0.60976,0.68624,0.28945,1.96508,1.04281,1.21069,0.00103987,0.00103987,0.00103987
21,341.243,1.68226,0.8772,1.04807,0.76593,0.64735,0.70199,0.2907,2.0184,1.01746,1.2141,0.00100687,0.00100687,0.00100687
22,357.27,1.70483,0.87753,1.05195,0.73535,0.68157,0.72408,0.31556,1.90901,0.98919,1.17848,0.000973861,0.000973861,0.000973861
23,373.802,1.68394,0.86421,1.04106,0.77651,0.65718,0.71079,0.3082,1.98135,1.01691,1.22049,0.000940855,0.000940855,0.000940855
24,389.341,1.6764,0.86541,1.03702,0.73957,0.71138,0.74047,0.31651,1.98718,0.98402,1.21002,0.000907848,0.000907848,0.000907848
25,404.862,1.64864,0.82619,1.03361,0.76898,0.66304,0.72688,0.30099,1.97439,0.97052,1.22917,0.000874842,0.000874842,0.000874842
26,421.508,1.63237,0.82751,1.03017,0.72038,0.6982,0.72766,0.30708,1.9411,1.00656,1.20396,0.000841835,0.000841835,0.000841835
27,437.58,1.64286,0.83617,1.02748,0.76079,0.66125,0.70779,0.30916,1.95104,0.97423,1.20331,0.000808828,0.000808828,0.000808828
28,452.979,1.62334,0.82171,1.02124,0.76497,0.68022,0.71607,0.3001,1.97957,0.97507,1.21619,0.000775822,0.000775822,0.000775822
29,468.821,1.60882,0.81004,1.01865,0.75842,0.69106,0.74535,0.32574,1.92973,0.93342,1.19959,0.000742815,0.000742815,0.000742815
30,484.745,1.5954,0.80667,1.01501,0.76468,0.72212,0.75252,0.31831,1.94342,0.95524,1.19693,0.000709809,0.000709809,0.000709809
31,500.374,1.58094,0.79362,1.00612,0.76766,0.71816,0.75636,0.31834,1.96773,0.95758,1.21386,0.000676802,0.000676802,0.000676802
32,516.067,1.55958,0.78472,1.0001,0.81931,0.64513,0.74073,0.31851,1.95693,0.96661,1.19914,0.000643795,0.000643795,0.000643795
33,531.532,1.53339,0.76073,1.00125,0.75332,0.70461,0.73754,0.31071,1.9729,0.94199,1.22149,0.000610789,0.000610789,0.000610789
34,547.398,1.52894,0.75325,0.99607,0.79068,0.68588,0.74259,0.31089,1.97996,0.94603,1.22665,0.000577782,0.000577782,0.000577782
35,563.293,1.51628,0.7621,0.99182,0.79579,0.67886,0.74831,0.31852,1.94247,0.95669,1.23066,0.000544776,0.000544776,0.000544776
